                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0115,                 1.4059,                0.93396,                0.91828,                0.74135,                0.84132,                 0.8561,                0.61706,                0.74506,                0.84716,                0.86694,                0.57793,                0.98331,                 1.4426,                0.96697,                  0.927,              0.0015762,              0.0015762,              0.0015762
                     25,                 1.0526,                 1.4901,                 1.0004,                0.93666,                0.85337,                0.77903,                0.88349,                0.62888,                0.86164,                0.78908,                 0.8951,                0.59913,                  1.027,                 1.3948,                 0.9708,                0.94214,              0.0015721,              0.0015721,              0.0015721
                     26,                 1.0173,                 1.4096,                0.91841,                0.94543,                0.79167,                0.83263,                0.86541,                0.61322,                0.79615,                0.84143,                0.87041,                0.57269,                 1.0031,                 1.4124,                0.95416,                 0.9311,               0.001568,               0.001568,               0.001568
                     27,                 1.0112,                 1.4724,                0.92638,                0.93676,                0.72396,                0.81637,                0.86113,                0.63013,                0.76638,                 0.8055,                0.86576,                0.55833,                0.96952,                 1.5304,                 1.0142,                0.92315,              0.0015639,              0.0015639,              0.0015639
                     28,                0.98724,                 1.4555,                0.91174,                0.91765,                0.72788,                0.80912,                0.82055,                0.59206,                0.74024,                0.81999,                0.83431,                0.55049,                0.96657,                 1.3723,                0.98534,                0.92438,              0.0015597,              0.0015597,              0.0015597
                     29,                  1.008,                 1.4392,                0.89617,                0.92845,                0.78434,                0.83086,                0.88267,                0.63168,                0.79218,                 0.8381,                0.88179,                0.59011,                0.97897,                 1.3642,                0.91822,                0.94273,              0.0015556,              0.0015556,              0.0015556
                     30,                0.98252,                 1.4516,                0.85704,                0.92277,                0.75056,                0.81442,                0.85559,                0.62355,                0.76749,                0.82785,                 0.8712,                0.55782,                   1.01,                 1.4538,                0.98113,                0.93382,              0.0015515,              0.0015515,              0.0015515
                     31,                 1.0298,                  1.466,                0.88591,                0.92873,                0.77622,                0.78376,                0.84762,                 0.6207,                 0.8003,                0.80187,                0.86202,                0.59091,                0.96031,                 1.3285,                0.97729,                0.92622,              0.0015474,              0.0015474,              0.0015474
                     32,                0.98601,                  1.366,                0.88406,                0.91092,                0.79451,                0.86709,                0.87013,                0.65054,                0.80827,                0.88158,                0.88581,                0.60719,                0.97001,                 1.3343,                0.91571,                0.93253,              0.0015432,              0.0015432,              0.0015432
                     33,                 1.0284,                 1.4554,                0.83458,                0.91851,                0.77737,                  0.791,                0.85503,                0.62131,                0.79546,                 0.8055,                0.87377,                0.59331,                 1.0105,                 1.4073,                  1.025,                0.94086,              0.0015391,              0.0015391,              0.0015391
                     34,                 1.0317,                 1.4793,                0.86116,                0.93044,                  0.778,                0.79825,                0.84921,                0.60974,                0.78165,                0.79825,                0.85813,                0.55855,                 1.0398,                 1.4222,                0.98655,                0.94976,               0.001535,               0.001535,               0.001535
                     35,                0.93959,                 1.3682,                0.83988,                0.92825,                0.75026,                0.87292,                0.89072,                0.66448,                0.79509,                0.84591,                 0.8978,                0.61168,                0.94419,                 1.3337,                0.83928,                0.94164,              0.0015308,              0.0015308,              0.0015308
                     36,                0.96305,                 1.4338,                0.79494,                0.92438,                0.80631,                0.83733,                0.87975,                0.64073,                0.79346,                0.85852,                0.88044,                0.58116,                0.97896,                 1.3899,                0.85801,                0.92394,              0.0015267,              0.0015267,              0.0015267
                     37,                 1.0065,                 1.3915,                0.80936,                0.94545,                0.77904,                0.80127,                0.85642,                0.64592,                0.78462,                0.80912,                0.85851,                 0.5874,                0.90528,                  1.362,                0.87883,                0.91671,              0.0015226,              0.0015226,              0.0015226
                     38,                0.99286,                 1.4419,                0.83238,                0.91311,                0.74668,                0.83713,                0.87256,                0.63887,                0.76551,                0.83086,                0.86698,                0.57749,                0.99432,                 1.4249,                0.88212,                0.93003,              0.0015185,              0.0015185,              0.0015185
                     39,                 1.0158,                 1.4124,                0.82308,                0.93117,                0.77597,                0.82361,                0.87055,                 0.6559,                0.77862,                0.83925,                0.87898,                0.61823,                0.92424,                 1.3046,                 0.8305,                0.92655,              0.0015143,              0.0015143,              0.0015143
                     40,                0.97872,                 1.4089,                0.84447,                 0.9241,                0.83159,                0.85578,                0.86814,                0.64091,                0.84267,                0.86615,                 0.8825,                0.59448,                 1.0037,                 1.3662,                0.81726,                0.92646,              0.0015102,              0.0015102,              0.0015102
                     41,                0.96231,                 1.4274,                0.81249,                0.91614,                 0.8331,                0.82114,                  0.876,                0.66243,                0.87267,                0.82838,                0.89584,                0.61781,                0.90558,                 1.2585,                 0.7817,                0.90654,              0.0015061,              0.0015061,              0.0015061
                     42,                0.96715,                  1.337,                0.81273,                0.91503,                0.78628,                0.87745,                0.89007,                0.64889,                0.81582,                0.87486,                0.90614,                0.60471,                0.97772,                 1.3329,                0.79123,                0.91899,               0.001502,               0.001502,               0.001502
                     43,                0.90574,                 1.2946,                0.76488,                 0.9058,                0.76563,                0.87372,                0.89803,                 0.6772,                0.86447,                 0.7994,                0.90725,                0.63035,                0.87571,                 1.2611,                0.78567,                0.90942,              0.0014978,              0.0014978,              0.0014978
                     44,                0.94896,                 1.3285,                0.80113,                0.89975,                0.82916,                0.84519,                 0.8835,                0.64623,                0.84536,                0.85435,                 0.8972,                0.58527,                0.95459,                 1.3657,                0.83962,                0.92276,              0.0014937,              0.0014937,              0.0014937
                     45,                0.94926,                 1.3216,                0.79767,                0.92393,                0.79392,                0.87434,                0.88838,                0.65588,                0.84665,                0.84084,                0.90369,                0.61669,                0.95426,                 1.2691,                0.78383,                 0.9376,              0.0014896,              0.0014896,              0.0014896
