                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.91434,                 1.3257,                0.88155,                0.90757,                0.61427,                0.72041,                0.77141,                0.49907,                0.64154,                0.72531,                0.77014,                0.41964,                 1.0105,                 1.4039,                 1.0569,                0.94676,              0.0013512,              0.0013512,              0.0013512
                     25,                0.92929,                 1.3576,                0.99551,                0.90597,                0.61884,                0.76197,                0.77192,                0.50545,                0.63533,                0.79168,                0.79899,                  0.459,                0.99063,                 1.3637,                0.96469,                0.95449,              0.0013477,              0.0013477,              0.0013477
                     26,                0.90743,                 1.2669,                0.88506,                0.94051,                0.67469,                0.69693,                0.76899,                0.49251,                0.67873,                0.73845,                0.78429,                0.42274,                0.94386,                 1.3653,                  1.018,                0.94045,              0.0013441,              0.0013441,              0.0013441
                     27,                0.94697,                 1.4067,                0.97032,                 0.9291,                0.75685,                0.68172,                0.78392,                0.49449,                 0.7291,                0.65966,                0.76191,                0.44357,                 1.0612,                 1.4276,                 1.1554,                0.95316,              0.0013406,              0.0013406,              0.0013406
                     28,                0.93429,                 1.3312,                0.91839,                0.91485,                0.65473,                0.74841,                0.74023,                0.50047,                0.61523,                0.76137,                0.75282,                0.44377,                0.91669,                 1.4354,                0.98929,                0.92304,               0.001337,               0.001337,               0.001337
                     29,                0.91199,                 1.2718,                0.87151,                0.91033,                0.63383,                0.67021,                 0.7361,                0.44328,                0.59645,                0.70573,                0.72283,                0.34151,                 1.0449,                 1.5544,                 1.1587,                0.96382,              0.0013335,              0.0013335,              0.0013335
                     30,                0.96194,                 1.3787,                 0.9081,                 0.9246,                0.74275,                0.63277,                0.74734,                0.44726,                0.63589,                0.68545,                0.73628,                0.36807,                  1.091,                 1.4077,                 1.2233,                 0.9737,                0.00133,                0.00133,                0.00133
                     31,                0.96046,                 1.3389,                0.89307,                0.91434,                0.63445,                0.70024,                0.76497,                0.48471,                0.63624,                0.73798,                0.77045,                0.41253,                0.94405,                 1.3866,                 1.0258,                0.93663,              0.0013264,              0.0013264,              0.0013264
                     32,                0.90899,                 1.3231,                0.86548,                0.90594,                0.67115,                0.74061,                0.78276,                0.50762,                 0.6833,                0.77534,                  0.802,                0.45575,                0.93823,                 1.4096,                0.93108,                0.94192,              0.0013229,              0.0013229,              0.0013229
                     33,                 0.9377,                 1.3817,                0.85312,                0.90917,                0.77911,                0.62822,                0.75486,                0.49475,                0.67382,                0.66728,                0.76923,                0.45504,                0.93205,                 1.3828,                 1.0203,                0.94075,              0.0013194,              0.0013194,              0.0013194
                     34,                0.92606,                 1.3293,                0.86716,                0.91284,                0.66041,                0.68814,                0.75353,                0.49963,                0.66321,                0.70014,                0.77719,                0.42476,                0.97264,                 1.5121,                0.94482,                0.94689,              0.0013158,              0.0013158,              0.0013158
                     35,                0.90111,                 1.2595,                0.83878,                0.94821,                 0.7039,                0.76806,                0.75061,                0.51879,                 0.7246,                0.74737,                0.78429,                0.47804,                0.90994,                 1.3737,                0.91068,                0.93968,              0.0013123,              0.0013123,              0.0013123
                     36,                0.89862,                 1.2805,                0.86378,                0.92358,                0.79498,                0.69193,                0.82283,                0.51556,                0.65513,                0.78674,                0.81526,                0.44246,                  1.005,                 1.4823,                0.92597,                0.94238,              0.0013087,              0.0013087,              0.0013087
                     37,                0.89371,                 1.2458,                0.80047,                0.91749,                0.68907,                0.72527,                0.78249,                0.51141,                0.70515,                0.72451,                 0.7896,                0.42727,                0.92072,                 1.5677,                 0.9743,                0.93564,              0.0013052,              0.0013052,              0.0013052
                     38,                0.94148,                 1.3418,                0.85825,                0.91621,                0.68677,                0.72161,                0.78592,                0.52368,                0.72975,                0.74308,                 0.8115,                0.45675,                0.92456,                 1.4406,                0.94406,                0.94671,              0.0013017,              0.0013017,              0.0013017
                     39,                0.92863,                 1.3812,                0.82255,                 0.9185,                0.72239,                0.76983,                0.79116,                0.52923,                0.72881,                0.73979,                0.80429,                0.46875,                0.96675,                 1.4142,                0.83689,                0.93726,              0.0012981,              0.0012981,              0.0012981
                     40,                0.91869,                 1.2932,                0.91246,                0.92039,                 0.7153,                0.80161,                0.81931,                0.53621,                0.70727,                0.79267,                0.81064,                 0.4816,                0.95642,                 1.4099,                0.84292,                0.93586,              0.0012946,              0.0012946,              0.0012946
